,facent,rotatingR,Laserdist,ConcaveC,ReflectingDist
0,8,4.0,-1.5,15,12.80000000000001
1,8,4.0,-1.6,15,13.900000000000013
2,8,4.0,-1.7000000000000002,15,12.40000000000001
3,8,4.0,-1.8000000000000003,15,11.100000000000012
4,8,4.0,-1.9000000000000004,15,10.00000000000001
5,8,4.0,-2.0000000000000004,15,9.100000000000009
6,8,4.0,-2.1000000000000005,15,8.300000000000008
7,8,4.0,-2.2000000000000006,15,7.600000000000007
8,8,4.0,-2.3000000000000007,15,7.000000000000006
9,8,4.0,-2.400000000000001,15,6.500000000000005
10,8,4.0,-2.500000000000001,15,6.100000000000006
11,8,4.5,-1.5,15,12.800000000000011
12,8,4.5,-1.6,15,13.800000000000011
13,8,4.5,-1.7000000000000002,15,12.30000000000001
14,8,4.5,-1.8000000000000003,15,11.000000000000012
15,8,4.5,-1.9000000000000004,15,9.90000000000001
16,8,4.5,-2.0000000000000004,15,9.000000000000007
17,8,4.5,-2.1000000000000005,15,8.200000000000006
18,8,4.5,-2.2000000000000006,15,7.500000000000007
19,8,4.5,-2.3000000000000007,15,6.900000000000006
20,8,4.5,-2.400000000000001,15,6.500000000000005
21,8,4.5,-2.500000000000001,15,6.000000000000005
22,8,5.0,-1.5,15,12.599999999999953
23,8,5.0,-1.6,15,13.699999999999951
24,8,5.0,-1.7000000000000002,15,12.299999999999956
25,8,5.0,-1.8000000000000003,15,10.89999999999996
26,8,5.0,-1.9000000000000004,15,9.899999999999965
27,8,5.0,-2.0000000000000004,15,8.899999999999967
28,8,5.0,-2.1000000000000005,15,8.099999999999971
29,8,5.0,-2.2000000000000006,15,7.399999999999974
30,8,5.0,-2.3000000000000007,15,6.8999999999999755
31,8,5.0,-2.400000000000001,15,6.299999999999978
32,8,5.0,-2.500000000000001,15,5.999999999999979
33,8,5.5,-1.5,15,12.599999999999955
34,8,5.5,-1.6,15,13.699999999999953
35,8,5.5,-1.7000000000000002,15,12.199999999999955
36,8,5.5,-1.8000000000000003,15,10.899999999999961
37,8,5.5,-1.9000000000000004,15,9.799999999999967
38,8,5.5,-2.0000000000000004,15,8.899999999999968
39,8,5.5,-2.1000000000000005,15,7.999999999999973
40,8,5.5,-2.2000000000000006,15,7.399999999999974
41,8,5.5,-2.3000000000000007,15,6.799999999999976
42,8,5.5,-2.400000000000001,15,6.299999999999978
43,8,5.5,-2.500000000000001,15,5.799999999999979
44,8,6.0,-1.5,15,12.499999999999952
45,8,6.0,-1.6,15,13.59999999999995
46,8,6.0,-1.7000000000000002,15,12.099999999999959
47,8,6.0,-1.8000000000000003,15,10.799999999999962
48,8,6.0,-1.9000000000000004,15,9.699999999999964
49,8,6.0,-2.0000000000000004,15,8.799999999999969
50,8,6.0,-2.1000000000000005,15,7.99999999999997
51,8,6.0,-2.2000000000000006,15,7.299999999999974
52,8,6.0,-2.3000000000000007,15,6.699999999999976
53,8,6.0,-2.400000000000001,15,6.199999999999978
54,8,6.0,-2.500000000000001,15,5.69999999999998
55,12,4.0,-1.5,15,12.70000000000001
56,12,4.0,-1.6,15,13.800000000000011
